leaves,x0,x1,x2,x3,x4,x5,x6,x7,bottom_permutation,top_permutation,permutation,orbits
9,1,0,0,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 6)(1 3)(2 9)(4 8)(5 7),"[[6, 3, 1, 4, 8, 5, 7, 9, 2, 0]]",1
11,1,0,1,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 6)(2 11)(3 9)(4 8)(5 7),"[[10, 7, 5, 8, 4, 1, 6, 3, 9, 11, 2, 0]]",1
13,1,0,2,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 10)(2 13)(3 9)(4 8)(5 7)(6 11),"[[12, 9, 3, 6, 11, 13, 2, 0], [10, 7, 5, 8, 4, 1]]",2
11,1,1,0,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 6)(3 11)(4 8)(5 7),"[[10, 7, 5, 8, 4, 1, 9, 11, 3, 6, 2, 0]]",1
13,1,1,1,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 9)(4 8)(5 7)(6 13),"[[12, 9, 3, 6, 13, 11, 1, 4, 8, 5, 7, 10, 2, 0]]",1
15,1,1,2,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 12)(3 9)(4 8)(5 7)(6 11)(10 15),"[[14, 11, 6, 3, 9, 12, 2, 0], [13, 15, 10, 7, 5, 8, 4, 1]]",2
13,1,2,0,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 6)(3 10)(4 8)(5 7)(9 13),"[[12, 9, 13, 11, 1, 4, 8, 5, 7, 10, 3, 6, 2, 0]]",1
15,1,2,1,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 10)(3 9)(4 8)(5 7)(6 12)(11 15),"[[14, 11, 15, 13, 1, 4, 8, 5, 7, 10, 2, 0], [9, 12, 6, 3]]",2
17,1,2,2,1,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 12)(3 9)(4 8)(5 7)(6 11)(10 14)(13 17),"[[16, 13, 17, 15, 1, 4, 8, 5, 7, 10, 14, 11, 6, 3, 9, 12, 2, 0]]",1
11,1,0,0,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 3)(2 11)(4 8)(5 7)(6 10),"[[9, 11, 2, 0], [3, 6, 10, 7, 5, 8, 4, 1]]",2
