leaves,x0,x1,x2,bottom_permutation,top_permutation,permutation,orbits
1,0,0,0,(0 1),(0 1),"[[1, 0]]",1
5,0,1,0,(0 2)(1 4)(3 5),(0 3)(1 5)(2 4),"[[3, 5, 1, 4, 2, 0]]",1
7,0,2,0,(0 2)(1 4)(3 6)(5 7),(0 5)(1 7)(2 4)(3 6),"[[5, 7, 1, 4, 2, 0], [6, 3]]",2
9,0,3,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 9)(2 4)(3 6)(5 8),"[[7, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
11,0,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 11)(2 4)(3 6)(5 8)(7 10),"[[9, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
13,0,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12),"[[11, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
15,0,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 13)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14),"[[13, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
17,0,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 15)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16),"[[15, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
19,0,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 17)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18),"[[17, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
21,0,9,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 19)(1 21)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20),"[[19, 21, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",9
23,0,10,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 21)(1 23)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22),"[[21, 23, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",10
5,1,0,0,(0 2)(1 4)(3 5),(0 4)(1 3)(2 5),"[[4, 1, 3, 5, 2, 0]]",1
7,1,1,0,(0 2)(1 4)(3 6)(5 7),(0 6)(1 5)(2 4)(3 7),"[[6, 3, 7, 5, 1, 4, 2, 0]]",1
9,1,2,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 7)(2 4)(3 6)(5 9),"[[8, 5, 9, 7, 1, 4, 2, 0], [6, 3]]",2
11,1,3,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 4)(3 6)(5 8)(7 11),"[[10, 7, 11, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
13,1,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13),"[[12, 9, 13, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
15,1,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15),"[[14, 11, 15, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
17,1,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17),"[[16, 13, 17, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
19,1,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19),"[[18, 15, 19, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
21,1,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21),"[[20, 17, 21, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
23,1,9,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 21)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 23),"[[22, 19, 23, 21, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",9
25,1,10,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 23)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25),"[[24, 21, 25, 23, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",10
7,2,0,0,(0 2)(1 4)(3 6)(5 7),(0 6)(1 3)(2 5)(4 7),"[[6, 3, 1, 4, 7, 5, 2, 0]]",1
