leaves,x0,x1,x2,bottom_permutation,top_permutation,permutation,orbits
1,0,0,0,(0 1),(0 1),"[[1, 0]]",1
5,0,1,0,(0 2)(1 4)(3 5),(0 3)(1 5)(2 4),"[[3, 5, 1, 4, 2, 0]]",1
7,0,2,0,(0 2)(1 4)(3 6)(5 7),(0 5)(1 7)(2 4)(3 6),"[[5, 7, 1, 4, 2, 0], [6, 3]]",2
9,0,3,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 9)(2 4)(3 6)(5 8),"[[7, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
11,0,4,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 11)(2 4)(3 6)(5 8)(7 10),"[[9, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
13,0,5,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12),"[[11, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
15,0,6,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 13)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14),"[[13, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
17,0,7,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 15)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16),"[[15, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
19,0,8,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 17)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18),"[[17, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
21,0,9,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 19)(1 21)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20),"[[19, 21, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",9
23,0,10,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 21)(1 23)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22),"[[21, 23, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",10
25,0,11,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 23)(1 25)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24),"[[23, 25, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21]]",11
27,0,12,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 25)(1 27)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26),"[[25, 27, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23]]",12
29,0,13,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 27)(1 29)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28),"[[27, 29, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25]]",13
31,0,14,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 29)(1 31)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30),"[[29, 31, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27]]",14
33,0,15,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 33),(0 31)(1 33)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32),"[[31, 33, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [32, 29]]",15
35,0,16,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 35),(0 33)(1 35)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34),"[[33, 35, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [32, 29], [34, 31]]",16
5,1,0,0,(0 2)(1 4)(3 5),(0 4)(1 3)(2 5),"[[4, 1, 3, 5, 2, 0]]",1
7,1,1,0,(0 2)(1 4)(3 6)(5 7),(0 6)(1 5)(2 4)(3 7),"[[6, 3, 7, 5, 1, 4, 2, 0]]",1
