leaves,x0,x1,bottom_permutation,top_permutation,permutation,orbits
35,11,5,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 35),(0 34)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35),"[[34, 31, 28, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [15, 18, 21, 24, 27, 30, 33, 35, 32, 29, 26, 23, 20, 17, 14, 11]]",6
37,11,6,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 37),(0 36)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37),"[[36, 33, 30, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [17, 20, 23, 26, 29, 32, 35, 37, 34, 31, 28, 25, 22, 19, 16, 13]]",7
39,11,7,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 39),(0 38)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39),"[[38, 35, 32, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [19, 22, 25, 28, 31, 34, 37, 39, 36, 33, 30, 27, 24, 21, 18, 15]]",8
41,11,8,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 41),(0 40)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41),"[[40, 37, 34, 31, 28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [21, 24, 27, 30, 33, 36, 39, 41, 38, 35, 32, 29, 26, 23, 20, 17]]",9
43,11,9,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 43),(0 42)(1 21)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43),"[[42, 39, 36, 33, 30, 27, 24, 21, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [23, 26, 29, 32, 35, 38, 41, 43, 40, 37, 34, 31, 28, 25, 22, 19]]",10
45,11,10,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 45),(0 44)(1 23)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45),"[[44, 41, 38, 35, 32, 29, 26, 23, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [25, 28, 31, 34, 37, 40, 43, 45, 42, 39, 36, 33, 30, 27, 24, 21]]",11
47,11,11,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 47),(0 46)(1 25)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47),"[[46, 43, 40, 37, 34, 31, 28, 25, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [27, 30, 33, 36, 39, 42, 45, 47, 44, 41, 38, 35, 32, 29, 26, 23]]",12
49,11,12,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 49),(0 48)(1 27)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49),"[[48, 45, 42, 39, 36, 33, 30, 27, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [29, 32, 35, 38, 41, 44, 47, 49, 46, 43, 40, 37, 34, 31, 28, 25]]",13
51,11,13,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 51),(0 50)(1 29)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51),"[[50, 47, 44, 41, 38, 35, 32, 29, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [31, 34, 37, 40, 43, 46, 49, 51, 48, 45, 42, 39, 36, 33, 30, 27]]",14
53,11,14,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 53),(0 52)(1 31)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53),"[[52, 49, 46, 43, 40, 37, 34, 31, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [33, 36, 39, 42, 45, 48, 51, 53, 50, 47, 44, 41, 38, 35, 32, 29]]",15
55,11,15,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 54)(53 55),(0 54)(1 33)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53)(52 55),"[[54, 51, 48, 45, 42, 39, 36, 33, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [32, 29], [35, 38, 41, 44, 47, 50, 53, 55, 52, 49, 46, 43, 40, 37, 34, 31]]",16
57,11,16,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 54)(53 56)(55 57),(0 56)(1 35)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53)(52 55)(54 57),"[[56, 53, 50, 47, 44, 41, 38, 35, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [32, 29], [34, 31], [37, 40, 43, 46, 49, 52, 55, 57, 54, 51, 48, 45, 42, 39, 36, 33]]",17
27,12,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 3)(2 5)(4 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 14, 11, 8, 5, 2, 0], [3, 6, 9, 12, 15, 18, 21, 24, 27, 25, 22, 19, 16, 13, 10, 7, 4, 1]]",2
29,12,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 16, 13, 10, 7, 3, 6, 9, 12, 15, 18, 21, 24, 27, 29, 26, 23, 20, 17, 14, 11, 8, 5, 1, 4, 2, 0]]",1
31,12,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 18, 15, 12, 9, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31, 28, 25, 22, 19, 16, 13, 10, 7, 1, 4, 2, 0], [6, 3]]",2
33,12,3,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 33),(0 32)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33),"[[32, 29, 26, 23, 20, 17, 14, 11, 7, 10, 13, 16, 19, 22, 25, 28, 31, 33, 30, 27, 24, 21, 18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
35,12,4,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 35),(0 34)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35),"[[34, 31, 28, 25, 22, 19, 16, 13, 9, 12, 15, 18, 21, 24, 27, 30, 33, 35, 32, 29, 26, 23, 20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
37,12,5,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 37),(0 36)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37),"[[36, 33, 30, 27, 24, 21, 18, 15, 11, 14, 17, 20, 23, 26, 29, 32, 35, 37, 34, 31, 28, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
39,12,6,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 39),(0 38)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39),"[[38, 35, 32, 29, 26, 23, 20, 17, 13, 16, 19, 22, 25, 28, 31, 34, 37, 39, 36, 33, 30, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
41,12,7,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 41),(0 40)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41),"[[40, 37, 34, 31, 28, 25, 22, 19, 15, 18, 21, 24, 27, 30, 33, 36, 39, 41, 38, 35, 32, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
43,12,8,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 43),(0 42)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43),"[[42, 39, 36, 33, 30, 27, 24, 21, 17, 20, 23, 26, 29, 32, 35, 38, 41, 43, 40, 37, 34, 31, 28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
45,12,9,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 45),(0 44)(1 21)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45),"[[44, 41, 38, 35, 32, 29, 26, 23, 19, 22, 25, 28, 31, 34, 37, 40, 43, 45, 42, 39, 36, 33, 30, 27, 24, 21, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",9
47,12,10,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 47),(0 46)(1 23)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47),"[[46, 43, 40, 37, 34, 31, 28, 25, 21, 24, 27, 30, 33, 36, 39, 42, 45, 47, 44, 41, 38, 35, 32, 29, 26, 23, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",10
49,12,11,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 49),(0 48)(1 25)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49),"[[48, 45, 42, 39, 36, 33, 30, 27, 23, 26, 29, 32, 35, 38, 41, 44, 47, 49, 46, 43, 40, 37, 34, 31, 28, 25, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21]]",11
51,12,12,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 51),(0 50)(1 27)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51),"[[50, 47, 44, 41, 38, 35, 32, 29, 25, 28, 31, 34, 37, 40, 43, 46, 49, 51, 48, 45, 42, 39, 36, 33, 30, 27, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23]]",12
53,12,13,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 53),(0 52)(1 29)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53),"[[52, 49, 46, 43, 40, 37, 34, 31, 27, 30, 33, 36, 39, 42, 45, 48, 51, 53, 50, 47, 44, 41, 38, 35, 32, 29, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25]]",13
55,12,14,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 54)(53 55),(0 54)(1 31)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53)(52 55),"[[54, 51, 48, 45, 42, 39, 36, 33, 29, 32, 35, 38, 41, 44, 47, 50, 53, 55, 52, 49, 46, 43, 40, 37, 34, 31, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27]]",14
57,12,15,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 54)(53 56)(55 57),(0 56)(1 33)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53)(52 55)(54 57),"[[56, 53, 50, 47, 44, 41, 38, 35, 31, 34, 37, 40, 43, 46, 49, 52, 55, 57, 54, 51, 48, 45, 42, 39, 36, 33, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [32, 29]]",15
59,12,16,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 54)(53 56)(55 58)(57 59),(0 58)(1 35)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53)(52 55)(54 57)(56 59),"[[58, 55, 52, 49, 46, 43, 40, 37, 33, 36, 39, 42, 45, 48, 51, 54, 57, 59, 56, 53, 50, 47, 44, 41, 38, 35, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19], [24, 21], [26, 23], [28, 25], [30, 27], [32, 29], [34, 31]]",16
29,13,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 3)(2 5)(4 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 16, 13, 10, 7, 4, 1, 3, 6, 9, 12, 15, 18, 21, 24, 27, 29, 26, 23, 20, 17, 14, 11, 8, 5, 2, 0]]",1
31,13,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 5)(2 4)(3 7)(6 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 18, 15, 12, 9, 6, 3, 7, 10, 13, 16, 19, 22, 25, 28, 31, 29, 26, 23, 20, 17, 14, 11, 8, 5, 1, 4, 2, 0]]",1
33,13,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 33),(0 32)(1 7)(2 4)(3 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33),"[[32, 29, 26, 23, 20, 17, 14, 11, 8, 5, 9, 12, 15, 18, 21, 24, 27, 30, 33, 31, 28, 25, 22, 19, 16, 13, 10, 7, 1, 4, 2, 0], [6, 3]]",2
35,13,3,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 35),(0 34)(1 9)(2 4)(3 6)(5 8)(7 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35),"[[34, 31, 28, 25, 22, 19, 16, 13, 10, 7, 11, 14, 17, 20, 23, 26, 29, 32, 35, 33, 30, 27, 24, 21, 18, 15, 12, 9, 1, 4, 2, 0], [6, 3], [8, 5]]",3
37,13,4,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 37),(0 36)(1 11)(2 4)(3 6)(5 8)(7 10)(9 13)(12 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37),"[[36, 33, 30, 27, 24, 21, 18, 15, 12, 9, 13, 16, 19, 22, 25, 28, 31, 34, 37, 35, 32, 29, 26, 23, 20, 17, 14, 11, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7]]",4
39,13,5,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 39),(0 38)(1 13)(2 4)(3 6)(5 8)(7 10)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39),"[[38, 35, 32, 29, 26, 23, 20, 17, 14, 11, 15, 18, 21, 24, 27, 30, 33, 36, 39, 37, 34, 31, 28, 25, 22, 19, 16, 13, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9]]",5
41,13,6,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 41),(0 40)(1 15)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41),"[[40, 37, 34, 31, 28, 25, 22, 19, 16, 13, 17, 20, 23, 26, 29, 32, 35, 38, 41, 39, 36, 33, 30, 27, 24, 21, 18, 15, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11]]",6
43,13,7,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 43),(0 42)(1 17)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43),"[[42, 39, 36, 33, 30, 27, 24, 21, 18, 15, 19, 22, 25, 28, 31, 34, 37, 40, 43, 41, 38, 35, 32, 29, 26, 23, 20, 17, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13]]",7
45,13,8,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 45),(0 44)(1 19)(2 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45),"[[44, 41, 38, 35, 32, 29, 26, 23, 20, 17, 21, 24, 27, 30, 33, 36, 39, 42, 45, 43, 40, 37, 34, 31, 28, 25, 22, 19, 1, 4, 2, 0], [6, 3], [8, 5], [10, 7], [12, 9], [14, 11], [16, 13], [18, 15]]",8
