leaves,x0,x1,x2,x3,x4,bottom_permutation,top_permutation,permutation,orbits
1,0,0,0,0,0,(0 1),(0 1),"[[1, 0]]",1
5,0,1,0,0,0,(0 2)(1 4)(3 5),(0 3)(1 5)(2 4),"[[3, 5, 1, 4, 2, 0]]",1
5,1,0,0,0,0,(0 2)(1 4)(3 5),(0 4)(1 3)(2 5),"[[4, 1, 3, 5, 2, 0]]",1
7,1,1,0,0,0,(0 2)(1 4)(3 6)(5 7),(0 6)(1 5)(2 4)(3 7),"[[6, 3, 7, 5, 1, 4, 2, 0]]",1
7,0,0,1,0,0,(0 2)(1 4)(3 6)(5 7),(0 2)(1 6)(3 5)(4 7),"[[2, 0], [6, 3, 5, 7, 4, 1]]",2
7,0,1,1,0,0,(0 2)(1 4)(3 6)(5 7),(0 4)(1 7)(2 6)(3 5),"[[4, 1, 7, 5, 3, 6, 2, 0]]",1
7,1,0,1,0,0,(0 2)(1 4)(3 6)(5 7),(0 6)(1 4)(2 7)(3 5),"[[6, 3, 5, 7, 2, 0], [4, 1]]",2
9,1,1,1,0,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 7)(2 6)(3 5)(4 9),"[[8, 5, 3, 6, 2, 0], [7, 9, 4, 1]]",2
7,0,0,0,1,0,(0 2)(1 4)(3 6)(5 7),(0 2)(1 5)(3 7)(4 6),"[[2, 0], [5, 7, 3, 6, 4, 1]]",2
7,0,1,0,1,0,(0 2)(1 4)(3 6)(5 7),(0 3)(1 7)(2 5)(4 6),"[[3, 6, 4, 1, 7, 5, 2, 0]]",1
7,1,0,0,1,0,(0 2)(1 4)(3 6)(5 7),(0 5)(1 3)(2 7)(4 6),"[[5, 7, 2, 0], [3, 6, 4, 1]]",2
9,1,1,0,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 7)(2 5)(3 9)(4 6),"[[8, 5, 2, 0], [7, 9, 3, 6, 4, 1]]",2
9,0,0,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 8)(3 7)(4 6)(5 9),"[[2, 0], [8, 5, 9, 7, 3, 6, 4, 1]]",2
9,0,1,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 5)(1 9)(2 8)(3 7)(4 6),"[[5, 8, 2, 0], [9, 7, 3, 6, 4, 1]]",2
9,1,0,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 5)(2 9)(3 7)(4 6),"[[8, 5, 1, 4, 6, 3, 7, 9, 2, 0]]",1
11,1,1,1,1,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 8)(3 7)(4 6)(5 11),"[[10, 7, 3, 6, 4, 1, 9, 11, 5, 8, 2, 0]]",1
9,0,0,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 4)(3 8)(5 7)(6 9),"[[2, 0], [4, 1], [8, 5, 7, 9, 6, 3]]",3
9,0,1,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 3)(1 8)(2 4)(5 7)(6 9),"[[3, 6, 9, 7, 5, 8, 1, 4, 2, 0]]",1
9,1,0,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 4)(1 3)(2 8)(5 7)(6 9),"[[4, 1, 3, 6, 9, 7, 5, 8, 2, 0]]",1
9,1,1,0,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 6)(2 4)(3 9)(5 7),"[[8, 5, 7, 9, 3, 6, 1, 4, 2, 0]]",1
9,0,0,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 8)(3 6)(4 9)(5 7),"[[2, 0], [8, 5, 7, 9, 4, 1], [6, 3]]",3
9,0,1,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 4)(1 9)(2 8)(3 6)(5 7),"[[4, 1, 9, 7, 5, 8, 2, 0], [6, 3]]",2
9,1,0,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 4)(2 9)(3 6)(5 7),"[[8, 5, 7, 9, 2, 0], [4, 1], [6, 3]]",3
11,1,1,1,0,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 8)(3 6)(4 11)(5 7),"[[10, 7, 5, 8, 2, 0], [9, 11, 4, 1], [6, 3]]",3
9,0,0,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 6)(3 9)(4 8)(5 7),"[[2, 0], [6, 3, 9, 7, 5, 8, 4, 1]]",2
9,0,1,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 3)(1 9)(2 6)(4 8)(5 7),"[[3, 6, 2, 0], [9, 7, 5, 8, 4, 1]]",2
9,1,0,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 9),(0 6)(1 3)(2 9)(4 8)(5 7),"[[6, 3, 1, 4, 8, 5, 7, 9, 2, 0]]",1
11,1,1,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 6)(3 11)(4 8)(5 7),"[[10, 7, 5, 8, 4, 1, 9, 11, 3, 6, 2, 0]]",1
11,0,0,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 10)(3 9)(4 8)(5 7)(6 11),"[[2, 0], [10, 7, 5, 8, 4, 1], [9, 11, 6, 3]]",3
